Message Number;Time [ms];ID;DLC;Data Bytes;CANopen;Node;Index;Subindex;Interpretation
148;160690,000;0x0283;8;[0x09 0x32 0x09 0x32 0x00 0x00 0x00 0x00];PDO2_T;3;-;-;Transmit PDO2
149;160690,000;0x0383;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO3_T;3;-;-;Transmit PDO3
150;160690,000;0x0483;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;3;-;-;Transmit PDO4
151;160930,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
152;160970,000;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational (2500.0 ms)
153;161070,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
154;161190,000;0x0703;1;[0x05];ERR_CTRL;3;-;-;Heartbeat: Operational (2500.0 ms)
155;161200,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
156;161220,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
157;161310,000;0x0709;1;;ERR_CTRL;9;-;-;Node-Guarding Request (RTR)
158;161310,000;0x0709;1;[0x85];ERR_CTRL;9;-;-;Heartbeat: Operational (990.0 ms)
159;161350,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
160;161360,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
161;161460,000;0x0189;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;9;-;-;Transmit PDO1
162;161460,000;0x0289;8;[0xc0 0x01 0xff 0x03 0x8b 0x00 0x22 0x00];PDO2_T;9;-;-;Transmit PDO2
163;161460,000;0x0389;8;[0x75 0x02 0x5c 0x00 0x23 0x00 0x23 0x00];PDO3_T;9;-;-;Transmit PDO3
164;161470,000;0x0489;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;9;-;-;Transmit PDO4
165;161490,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
166;161510,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
167;161630,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
168;161650,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
169;161690,000;0x0183;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;3;-;-;Transmit PDO1
170;161690,000;0x0283;8;[0x09 0x32 0x09 0x32 0x00 0x00 0x00 0x00];PDO2_T;3;-;-;Transmit PDO2
171;161690,000;0x0383;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO3_T;3;-;-;Transmit PDO3
172;161690,000;0x0483;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;3;-;-;Transmit PDO4
173;161780,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
174;161790,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
175;161920,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
176;161940,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
177;161960,000;0x0189;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;9;-;-;Transmit PDO1
178;161960,000;0x0289;8;[0xc0 0x01 0xff 0x03 0x8b 0x00 0x22 0x00];PDO2_T;9;-;-;Transmit PDO2
179;161970,000;0x0389;8;[0x75 0x02 0x5c 0x00 0x23 0x00 0x23 0x00];PDO3_T;9;-;-;Transmit PDO3
180;161970,000;0x0489;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;9;-;-;Transmit PDO4
181;162070,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
182;162080,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
183;162210,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
184;162230,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
185;162310,000;0x0709;1;;ERR_CTRL;9;-;-;Node-Guarding Request (RTR)
186;162310,000;0x0709;1;[0x05];ERR_CTRL;9;-;-;Heartbeat: Operational (1000.0 ms)
187;162350,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
188;162370,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
189;162460,000;0x0189;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;9;-;-;Transmit PDO1
190;162460,000;0x0289;8;[0xc0 0x01 0xff 0x03 0x8b 0x00 0x22 0x00];PDO2_T;9;-;-;Transmit PDO2
191;162470,000;0x0389;8;[0x75 0x02 0x5c 0x00 0x23 0x00 0x23 0x00];PDO3_T;9;-;-;Transmit PDO3
192;162470,000;0x0489;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;9;-;-;Transmit PDO4
193;162500,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
194;162510,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
195;162640,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
196;162660,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
